"Longitud"	"Latitud"	"Ho"	"GDP_per_capita_PPP_2015"	"gpw_v4_population_density_2020"	"povmap.grdi.v1"	"travel_time_to_cities_12_MOD"	"travel_time_to_ports_5_MOD"	"CLUSTER"
-3.194484	48.868631	0.49	30480.5078125	72.3028335571289	62.2906188964844	19	10	"5"
-3.193273	48.86935	0.49	30480.5078125	72.3028335571289	62.2906188964844	19	10	"5"
-3.191924	48.86984	0.47	30480.5078125	72.3028335571289	62.2906188964844	19	10	"5"
-3.18927	48.867284	0.59	30480.5078125	72.3028335571289	62.2906188964844	19	10	"5"
-4.949782	48.400246	0.365	30480.5078125	46.2180824279785	43.9601135253906	42	54	"5"
-4.946002	48.405279	0.29	30480.5078125	46.2180824279785	43.9601135253906	42	54	"5"
-73.957037	40.791812	0.212	67082.421875	24982.740234375	18.7057113647461	0	2	"2"
-73.868444	40.711022	0.255	63746.609375	14407.458984375	2.83906483650208	0	9	"2"
-38.418136	-12.927444	0.245	907.561462402344	15246.7978515625	49.9640464782715	0	5	"4"
-123.101262	49.243724	0.239	41007.3515625	5371.2861328125	4.03055763244629	0	5	"2"
-89.967803	30.043285	0.277	48586.5234375	1680.43981933594	31.7232761383057	0	9	"2"
-79.593905	40.413446	0.215	53262.9609375	275.231628417969	2.89774584770203	5	135	"2"
-75.770663	41.590748	0.334	53262.9609375	58.0590934753418	53.8404350280762	10	114	"5"
-66.891069	10.46566	0.298	14868.658203125	6204.67138671875	46.9174423217773	0	14	"2"
25.051639	60.226299	0.056	44351.8359375	3219.79516601562	22.039867401123	0	6	"2"
24.646002	60.919831	0.074	44351.8359375	30.1571502685547	34.6477546691895	6	60	"2"
-73.86593	40.839541	0.568	63746.609375	13311.8974609375	24.8370876312256	0	6	"1"
-73.856666	40.854725	0.642	63746.609375	13311.8974609375	24.8370876312256	0	6	"1"
-73.869239	40.837705	0.722	63746.609375	13311.8974609375	24.8370876312256	0	6	"1"
-73.875636	40.840542	0.692	63746.609375	25285.3671875	0.310730665922165	0	5	"1"
-73.881319	40.880312	0.77	63746.609375	8546.796875	20.7720470428467	0	4	"1"
-73.896769	40.891472	0.742	63746.609375	8546.796875	20.7720470428467	0	4	"1"
-73.918398	40.843441	0.614	67082.421875	26416.96484375	34.5107078552246	0	3	"1"
-73.87205	40.854349	0.731	63746.609375	13311.8974609375	24.8370876312256	0	6	"1"
-73.896812	40.771754	0.712	63746.609375	12349.3466796875	5.95934343338013	0	7	"1"
-73.917368	40.825258	0.844	67082.421875	24982.740234375	18.7057113647461	0	2	"1"
-73.895396	40.825258	0.8	63746.609375	16111.13671875	23.2961902618408	0	5	"1"
22.586915	52.999714	0.7103	18261.6875	31.9304885864258	63.8013916015625	12	226	"3"
-38.447404	-12.91706	0.67	907.561462402344	15246.7978515625	49.9640464782715	0	5	"4"
-38.436074	-12.921159	0.67	907.561462402344	15246.7978515625	49.9640464782715	0	5	"4"
-38.42305	-12.929065	0.65	907.561462402344	15246.7978515625	49.9640464782715	0	5	"4"
-38.423393	-12.923627	0.62	907.561462402344	15246.7978515625	49.9640464782715	0	5	"4"
-38.432319	-12.916934	0.61	907.561462402344	15246.7978515625	49.9640464782715	0	5	"4"
-38.43232	-12.916934	0.7	907.561462402344	15246.7978515625	49.9640464782715	0	5	"4"
-38.428114	-12.928981	0.67	907.561462402344	15246.7978515625	49.9640464782715	0	5	"4"
-38.434551	-12.910911	0.63	907.561462402344	8746.8212890625	25.2486953735352	0	8	"4"
-38.432319	-12.905473	0.55	907.561462402344	8746.8212890625	25.2486953735352	0	8	"4"
-38.437555	-12.909991	0.71	907.561462402344	8746.8212890625	25.2486953735352	0	8	"4"
-79.995499	8.455663	0.329	27759.02734375	112.387390136719	55.8632659912109	9	50	"5"
-1.793927	51.072356	0.097	35399.29296875	1901.27807617188	27.5244064331055	0	24	"2"
-7.203654	62.048498	0.553	34937.5078125	45.1814575195312	70.09033203125	39	18	"5"
-7.148484	62.054663	0.444	34937.5078125	17.7376461029053	69.7691879272461	36	15	"5"
-7.135302	62.102913	0.572	34937.5078125	17.9979248046875	69.7695465087891	30	4	"5"
-7.022197	62.136433	0.4	34937.5078125	18.4339008331299	68.7877349853516	63	24	"5"
-6.769564	62.033659	0.555	34937.5078125	684.189453125	25.2033405303955	0	6	"2"
-6.76452	62.010367	0.297	34937.5078125	684.189453125	25.2033405303955	0	6	"2"
-6.903328	62.11746	0.331	34937.5078125	23.9933032989502	63.4533386230469	17	27	"5"
-6.861332	61.984347	0.447	34937.5078125	26.2654361724854	71.3984222412109	1	12	"5"
-6.773909	61.997473	0.457	34937.5078125	152.605010986328	67.1870269775391	2	9	"5"
-6.813541	62.243087	0.556	34937.5078125	84.0832366943359	36.7288513183594	38	19	"5"
-6.997067	62.210712	0.461	34937.5078125	33.2011871337891	70.6885604858398	36	28	"5"
-6.722431	62.115996	0.552	34937.5078125	264.280029296875	53.5390625	21	3	"5"
-6.690846	62.099397	0.556	34937.5078125	107.86075592041	58.8700790405273	24	6	"5"
-6.688603	62.070467	0.351	34937.5078125	74.0450134277344	63.4833946228027	15	14	"5"
-6.841286	61.561695	0.412	34937.5078125	35.4210739135742	62.4062767028809	125	4	"5"
-6.808166	61.554974	0.562	34937.5078125	89.9148788452148	57.1369361877441	130	3	"5"
-6.540126	62.209271	0.463	34937.5078125	73.1076736450195	68.3387756347656	68	27	"5"
-6.52119	62.299793	0.566	34937.5078125	21.4480819702148	52.3153305053711	77	27	"5"
-1.164585	52.975414	0.355	32896.2578125	5958.71435546875	1.39421093463898	0	52	"2"
-2.97923	53.417498	0.334	32952.99609375	4700.93359375	3.4362051486969	0	2	"2"
2.151862	41.362269	0.422	38284.99609375	18772.306640625	3.40246820449829	0	3	"2"
3.88358	45.040368	0.43	29195.484375	781.582946777344	4.99839353561401	0	126	"2"
4.843365	45.756484	0.445	37297.890625	13349.8701171875	4.05485868453979	0	154	"2"
5.368269	43.282726	0.323	34472.15625	6050.169921875	3.98391819000244	0	2	"2"
6.296552	51.960481	0.3	39456.84765625	597.14208984375	4.8896017074585	2	76	"2"
8.039205	51.98762	0.559	43208.87109375	179.293655395508	52.2759094238281	1	104	"5"
10.635706	48.781875	0.555	50097.98046875	64.6363677978516	54.6303443908691	11	365	"3"
5.302776	60.369531	0.384	67176.5703125	618.36572265625	4.53642702102661	0	5	"2"
11.965191	57.697628	0.336	44008.57421875	5190.03466796875	3.69928622245789	0	3	"2"
12.969265	55.587912	0.325	39951.9140625	6337.8955078125	4.01517152786255	0	2	"2"
14.790007	56.891366	0.35	42410.49609375	980.83642578125	4.54243183135986	0	55	"2"
16.640236	57.755509	0.417	39337.2734375	471.727935791016	28.9704627990723	2	4	"2"
17.946519	58.907025	0.55	62324.9921875	447.119659423828	13.234546661377	0	9	"2"
18.002598	59.295587	0.369	62324.9921875	8959.3583984375	9.02722644805908	0	3	"2"
18.075132	59.869524	0.457	39828.984375	19.8088340759277	58.6814994812012	14	32	"5"
17.250764	60.678092	0.556	40074.84375	846.439086914062	34.6614303588867	0	4	"2"
20.959886	64.754654	0.382	41181.20703125	214.648666381836	12.0590114593506	2	10	"2"
22.259863	60.435014	0.359	44351.8359375	785.315795898438	22.8856372833252	0	2	"2"
17.311216	59.735704	0.359	39828.984375	20.2993831634521	31.2254371643066	12	37	"2"
17.648821	59.853528	0.411	39828.984375	3776.03466796875	15.6068725585938	0	41	"2"
18.034878	59.883202	0.406	39828.984375	19.8088340759277	62.5264167785645	13	33	"5"
35.970494	56.867891	0.562	12466.0185546875	2469.35083007812	15.8494281768799	0	372	"3"
37.63734	55.736094	0.37	42312.20703125	13872.7314453125	4.74122762680054	0	487	"3"
